text,label
First solar-powered commercial airplane completes test flight.,REAL
Time traveler from 2090 warns of global banana shortage.,FAKE
Government approves new education policy to support digital learning.,REAL
COVID-19 vaccines show long-term effectiveness in studies.,REAL
Electric vehicle sales hit record high in 2024.,REAL
India becomes third nation to land spacecraft on Moon’s south pole.,REAL
Invention allows people to download knowledge into their brain.,FAKE
Smartphone app translates dog barks into human speech.,FAKE
Breakthrough in nuclear fusion generates positive energy output.,REAL
Scientists say chocolate consumption increases intelligence by 300%.,FAKE
Tech companies partner to improve cybersecurity infrastructure.,REAL
New marine species discovered in the depths of the Pacific Ocean.,REAL
NASA announces evidence of liquid water on Mars.,REAL
Researchers create vaccine for previously incurable virus.,REAL
Flat Earth society to launch its own satellite to prove theory.,FAKE
Olympics 2024 expected to see record participation from women athletes.,REAL
Meteor showers contain encrypted alien messages.,FAKE
FDA approves new drug for treating rare genetic disorder.,REAL
International team builds open-source COVID variant tracker.,REAL
"Invisible paint developed, already sold out worldwide.",FAKE
Elvis Presley found alive in remote Alaskan village.,FAKE
AI robot runs for president with strong public support.,FAKE
New law mandates financial education in high schools across the U.S.,REAL
Government building underground Mars simulation to hide secrets.,FAKE
"Wearing socks to bed prevents all diseases, says fake journal.",FAKE
Astronomers claim to have found a second sun behind the Moon.,FAKE
Microwaves linked to sudden bursts of genius ideas.,FAKE
Renewable energy becomes primary electricity source in Germany.,REAL
Earth to stop spinning for one minute every year starting 2026.,FAKE
Celebrity adopts cloud as pet.,FAKE
New study shows benefits of intermittent fasting.,REAL
SpaceX announces crewed Mars mission for late 2020s.,REAL
"Cure for aging discovered, but hidden by pharmaceutical companies.",FAKE
Ghost captured in high-definition using thermal drone.,FAKE
Underground city of robots found in Antarctica.,FAKE
Researchers develop biodegradable alternative to plastic packaging.,REAL
"Plants found communicating in Morse code, say researchers.",FAKE
New planet discovered inside Earth's core.,FAKE
New study shows that chocolate cures all known diseases.,FAKE
Rainbows proven to be solid objects under certain light.,FAKE
Breakthrough in cancer research offers new hope for treatment.,REAL
Fake company scams millions selling bottled air from Mars.,FAKE
Aliens sue Earth for space pollution.,FAKE
Dogs taught to code using bark-based programming language.,FAKE
Robots assist in elderly care across several countries.,REAL
City bans rain on weekends to boost tourism.,FAKE
Doctors perform first successful heart transplant from pig to human.,REAL
"Aliens have landed and are living secretly in the Himalayas, experts claim.",FAKE
"Wormholes now available for commercial travel, says startup.",FAKE
Google announces advancements in quantum computing.,REAL
EU expands renewable energy investments to meet climate goals.,REAL
Fountain of youth located under abandoned shopping mall.,FAKE
New app claims to detect lies using phone camera vibrations.,FAKE
Global internet access expands through satellite technology.,REAL
UNICEF expands education programs in refugee camps.,REAL
Scientists confirm invisibility with simple household items.,FAKE
"Aliens spotted collaborating with world leaders, claims anonymous source.",FAKE
3D-printed homes provide shelter in disaster-struck areas.,REAL
Mysterious pyramid found under Eiffel Tower.,FAKE
New study reveals people can breathe underwater through training.,FAKE
Archaeologists uncover lost city in the Amazon rainforest.,REAL
"Ancient aliens built the pyramids, confirms mysterious manuscript.",FAKE
Scientists confirm that the Earth is flat in newly leaked research paper.,FAKE
Secret island discovered with living dinosaurs.,FAKE
Fish develops legs and walks out of tank at aquarium.,FAKE
Air pollution levels decline significantly due to new regulations.,REAL
"Economy grows by 5% in the last quarter, says finance minister.",REAL
Biologists clone endangered species to prevent extinction.,REAL
Climate change contributing to rise in global food prices.,REAL
Doctors use AI to detect early signs of skin cancer.,REAL
New discovery: Trees remember faces.,FAKE
Scientists teach plants to play piano.,FAKE
Solar farms help power rural villages in Africa.,REAL
"Vampires exist, confirmed by ancient royal blood tests.",FAKE
Facebook introduces AI tool for detecting harmful content.,REAL
Global leaders sign agreement to reduce carbon emissions by 2040.,REAL
Amazon rainforest reforestation project shows early success.,REAL
Study reveals mental health benefits of regular walking.,REAL
Ancient scroll reveals humans once lived on the Moon.,FAKE
Time slowing field discovered in Bermuda Triangle.,FAKE
Cats found leading secret underground government.,FAKE
Apple unveils foldable iPhone with new tech.,REAL
Dinosaurs to be revived using ancient DNA tech.,FAKE
Major breakthrough in Alzheimer's treatment trials.,REAL
Cows now communicate using specially made keyboards.,FAKE
Mars helicopter completes 100th flight on the red planet.,REAL
WHO launches new global initiative to eliminate malaria by 2030.,REAL
UN reports improvement in global literacy rates over the last decade.,REAL
"Global chip shortage begins to ease, stabilizing markets.",REAL
Government mandates napping during work hours for productivity.,FAKE
"Area 51 opens to public, reveals flying cars and teleporters.",FAKE
Japan launches satellite for climate data monitoring.,REAL
Bill Gates says vaccines are part of a global mind control scheme.,FAKE
All roads to be replaced with magnetic levitation tracks.,FAKE
Unicorn bones discovered during subway construction in NYC.,FAKE
Local man wins lottery twice in one week!,REAL
Moon to be auctioned to private buyers in upcoming NASA event.,FAKE
Coral reefs showing signs of recovery due to restoration efforts.,REAL
New regulations increase transparency in political donations.,REAL
Scientists discover ancient human footprints in New Mexico.,REAL
Scientists use AI to decode ancient languages.,REAL
Electric trucks now operating in major logistics companies.,REAL
Experts say dreams are previews of parallel universe events.,FAKE
NASA successfully launches mission to explore Jupiter’s moon Europa.,REAL
NASA’s Mars rover finds organic molecules in soil samples.,REAL
Government to replace currency with digital mind credits.,FAKE
First floating wind farm generates power off Scotland’s coast.,REAL
Earth's gravity to reverse temporarily next week.,FAKE
Scientists map entire ocean floor for first time.,REAL
